Backend_Time,ESP_Time,experimentName,comment,programStatus,airPumpStatus,drainPumpStatus,nutrientPumpStatus,basePumpStatus,stirringMotorStatus,heatingPlateStatus,ledGrowLightStatus,waterTemp,airTemp,ph,turbidity,oxygen,airFlow
2024-06-07 08:55:05,06:55:05,None,,,0,0,0,0,0,0,0,23.74,-1000.0,11.3,4.38,22.0,0.0
2024-06-07 08:55:05,06:55:05,None,,,0,0,0,0,0,0,0,23.81,-1000.0,11.32,4.38,0.0,-1.0
2024-06-07 08:55:05,06:55:05,None,,,0,0,0,0,0,0,0,23.74,-1000.0,12.18,4.38,0.0,-1.0
2024-06-07 08:55:05,06:55:05,None,,,0,0,0,0,0,0,0,23.77,-1000.0,10.99,4.38,0.0,-1.0
2024-06-07 08:55:06,06:55:05,None,,,0,0,0,0,0,0,0,23.77,-1000.0,11.77,4.38,22.0,-1.0
2024-06-07 08:55:06,06:55:06,None,,,0,0,0,0,0,0,0,23.81,-1000.0,11.85,4.38,0.0,0.0
2024-06-07 08:55:06,06:55:06,None,,,0,0,0,0,0,0,0,23.81,-1000.0,10.94,4.38,0.0,-1.0
2024-06-07 08:55:06,06:55:06,None,,,0,0,0,0,0,0,0,23.77,-1000.0,12.1,4.38,0.0,-1.0
2024-06-07 08:55:07,06:55:06,None,,,0,0,0,0,0,0,0,23.7,-1000.0,11.49,4.38,0.0,-1.0
2024-06-07 08:55:07,06:55:06,None,,,0,0,0,0,0,0,0,23.81,-1000.0,11.19,4.38,0.0,-1.0
2024-06-07 08:55:07,06:55:07,None,,,0,0,0,0,0,0,0,23.77,-1000.0,12.21,4.38,0.0,0.0
2024-06-07 08:55:07,06:55:07,None,,,0,0,0,0,0,0,0,23.74,-1000.0,11.13,4.38,0.0,-1.0
2024-06-07 08:55:07,06:55:07,None,,,0,0,0,0,0,0,0,23.81,-1000.0,11.54,4.38,0.0,-1.0
2024-06-07 08:55:08,06:55:07,None,,,0,0,0,0,0,0,0,23.81,-1000.0,12.07,4.38,0.0,-1.0
2024-06-07 08:55:08,06:55:08,None,,,0,0,0,0,0,0,0,23.81,-1000.0,10.94,4.38,0.0,-1.0
2024-06-07 08:55:08,06:55:08,None,,,0,0,0,0,0,0,0,23.84,-1000.0,11.99,4.39,0.0,0.0
2024-06-07 08:55:08,06:55:08,None,,,0,0,0,0,0,0,0,23.74,-1000.0,11.71,4.38,0.0,-1.0
2024-06-07 08:55:08,06:55:08,None,,,0,0,0,0,0,0,0,23.74,-1000.0,11.02,4.38,0.0,-1.0
2024-06-07 08:55:09,06:55:08,None,,,0,0,0,0,0,0,0,23.7,-1000.0,12.18,4.38,0.0,-1.0
2024-06-07 08:55:09,06:55:09,None,,,0,0,0,0,0,0,0,23.7,-1000.0,11.24,4.38,0.0,-1.0
2024-06-07 08:55:09,06:55:09,None,,,0,0,0,0,0,0,0,23.84,-1000.0,11.35,4.38,0.0,0.0
2024-06-07 08:55:09,06:55:09,None,,,0,0,0,0,0,0,0,23.77,-1000.0,12.18,4.38,0.0,-1.0
2024-06-07 08:55:09,06:55:09,None,,,0,0,0,0,0,0,0,23.77,-1000.0,10.99,4.38,0.0,-1.0
2024-06-07 08:55:10,06:55:09,None,,,0,0,0,0,0,0,0,23.77,-1000.0,11.77,4.38,0.0,-1.0
2024-06-07 08:55:10,06:55:10,None,,,0,0,0,0,0,0,0,23.81,-1000.0,11.88,4.38,0.0,-1.0
2024-06-07 08:55:10,06:55:10,None,,,0,0,0,0,0,0,0,23.7,-1000.0,10.94,4.38,0.0,0.0
2024-06-07 08:55:10,06:55:10,None,,,0,0,0,0,0,0,0,23.7,-1000.0,12.1,4.38,0.0,-1.0
2024-06-07 08:55:10,06:55:10,None,,,0,0,0,0,0,0,0,23.81,-1000.0,11.49,4.38,0.0,-1.0
2024-06-07 08:55:11,06:55:10,None,,,0,0,0,0,0,0,0,23.81,-1000.0,11.16,4.38,0.0,-1.0
2024-06-07 08:55:11,06:55:11,None,,,0,0,0,0,0,0,0,23.81,-1000.0,12.21,4.38,0.0,-1.0
2024-06-07 08:55:11,06:55:11,None,,,0,0,0,0,0,0,0,23.74,-1000.0,11.1,4.38,0.0,0.0
2024-06-07 08:55:11,06:55:11,None,,,0,0,0,0,0,0,0,23.74,-1000.0,11.54,4.38,0.0,-1.0
2024-06-07 08:55:11,06:55:11,None,,,0,0,0,0,0,0,0,23.81,-1000.0,12.07,4.38,0.0,-1.0
2024-06-07 08:55:12,06:55:11,None,,,0,0,0,0,0,0,0,23.81,-1000.0,10.94,4.38,0.0,-1.0
2024-06-07 08:55:12,06:55:12,None,,,0,0,0,0,0,0,0,23.77,-1000.0,11.99,4.38,0.0,-1.0
2024-06-07 08:55:12,06:55:12,None,,,0,0,0,0,0,0,0,23.77,-1000.0,11.66,4.38,0.0,0.0
2024-06-07 08:55:12,06:55:12,None,,,0,0,0,0,0,0,0,23.77,-1000.0,11.02,4.38,0.0,-1.0
2024-06-07 08:55:13,06:55:12,None,,,0,0,0,0,0,0,0,23.74,-1000.0,12.21,4.38,0.0,-1.0
2024-06-07 08:55:13,06:55:12,None,,,0,0,0,0,0,0,0,23.81,-1000.0,11.24,4.38,0.0,-1.0
2024-06-07 08:55:13,06:55:13,None,,,0,0,0,0,0,0,0,23.77,-1000.0,11.38,4.38,0.0,-1.0
2024-06-07 08:55:13,06:55:13,None,,,0,0,0,0,0,0,0,23.74,-1000.0,12.15,4.38,0.0,0.0
2024-06-07 08:55:13,06:55:13,None,,,0,0,0,0,0,0,0,23.77,-1000.0,10.97,4.38,0.0,-1.0
2024-06-07 08:55:14,06:55:13,None,,,0,0,0,0,0,0,0,23.84,-1000.0,11.79,4.38,0.0,-1.0
2024-06-07 08:55:14,06:55:14,None,,,0,0,0,0,0,0,0,23.7,-1000.0,11.85,4.38,0.0,-1.0
2024-06-07 08:55:14,06:55:14,None,,,0,0,0,0,0,0,0,23.7,-1000.0,10.97,4.38,0.0,-1.0
2024-06-07 08:55:14,06:55:14,None,,,0,0,0,0,0,0,0,23.81,-1000.0,12.15,4.38,0.0,0.0
2024-06-07 08:55:14,06:55:14,None,,,0,0,0,0,0,0,0,23.81,-1000.0,11.46,4.38,50.0,-1.0
2024-06-07 08:55:15,06:55:14,None,,,0,0,0,0,0,0,0,23.74,-1000.0,11.21,4.38,0.0,-1.0
